ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
111,1.9,1.7,0.6,54.7,13.5,4.7,0.332,0.508,19.71,0.4,0.3,0.4,0.4
127,1.727,1.545,1.9,53.909,13.273,4.455,0.318,0.552,19.482,0.455,0.273,0.364,0.364
134,1.833,1.583,3.6,54.417,13.417,4.75,0.336,0.562,19.392,0.5,0.25,0.333,0.333
138,2.154,1.615,1.7,53.385,14.308,5.385,0.351,0.557,19.123,0.462,0.308,0.385,0.308
154,2.143,1.643,1.5,52.857,13.929,5.286,0.357,0.517,18.664,0.429,0.286,0.357,0.286
157,2.067,1.533,2.1,53.2,13.733,5.133,0.352,0.55,18.573,0.4,0.267,0.333,0.267
166,2.062,1.5,1.2,52.875,14.0,5.312,0.357,0.565,18.569,0.375,0.312,0.375,0.25
177,2.0,1.412,1.1,53.412,13.941,5.412,0.368,0.532,18.512,0.353,0.294,0.353,0.235
183,1.889,1.333,1.7,52.389,13.611,5.333,0.375,0.558,18.444,0.444,0.278,0.333,0.222
194,1.895,1.316,1.1,52.895,13.684,5.316,0.373,0.571,18.289,0.474,0.263,0.316,0.211
200,1.85,1.35,1.6,54.0,13.8,5.25,0.367,0.559,18.32,0.55,0.25,0.3,0.2
209,1.762,1.286,4.7,54.143,13.81,5.143,0.36,0.58,18.314,0.571,0.238,0.286,0.19
220,2.091,1.227,1.8,55.045,14.227,5.5,0.369,0.599,18.259,0.591,0.273,0.318,0.182
231,2.13,1.304,0.5,55.304,14.217,5.478,0.369,0.573,18.126,0.609,0.261,0.304,0.174
246,2.083,1.292,1.7,56.042,14.042,5.5,0.378,0.577,18.167,0.583,0.25,0.292,0.167
256,2.12,1.28,0.4,56.64,14.04,5.52,0.38,0.587,18.204,0.56,0.28,0.32,0.16
262,2.038,1.231,0.9,56.115,13.923,5.462,0.38,0.603,18.473,0.577,0.269,0.308,0.154
272,1.963,1.185,1.7,56.37,13.815,5.296,0.369,0.618,18.47,0.556,0.259,0.296,0.148
285,1.964,1.143,1.5,55.571,13.571,5.286,0.381,0.631,18.436,0.536,0.286,0.321,0.143
298,1.931,1.103,1.5,55.759,13.621,5.241,0.377,0.61,18.421,0.517,0.276,0.31,0.138
307,1.933,1.1,2.1,55.8,13.667,5.3,0.38,0.611,18.42,0.5,0.267,0.3,0.133
315,1.968,1.097,2.5,55.71,13.613,5.355,0.387,0.613,18.31,0.484,0.258,0.29,0.129
326,2.0,1.094,1.2,56.125,13.719,5.438,0.389,0.615,18.141,0.469,0.25,0.281,0.125
344,1.939,1.061,1.7,56.121,13.788,5.394,0.385,0.627,18.148,0.545,0.242,0.273,0.121
348,1.971,1.059,0.2,56.206,13.882,5.412,0.384,0.632,18.247,0.529,0.265,0.294,0.118
352,1.943,1.086,1.9,56.114,13.6,5.286,0.38,0.623,18.077,0.514,0.257,0.286,0.114
361,1.944,1.167,0.9,56.028,13.722,5.194,0.373,0.62,18.006,0.528,0.25,0.278,0.111
379,1.919,1.162,2.0,56.054,13.703,5.216,0.375,0.625,18.105,0.568,0.243,0.27,0.108
382,1.921,1.158,1.5,55.711,13.553,5.158,0.375,0.628,18.118,0.553,0.263,0.289,0.105
397,2.0,1.154,1.8,55.538,13.615,5.231,0.379,0.629,18.121,0.538,0.256,0.282,0.103
410,1.975,1.15,0.6,55.725,13.65,5.175,0.374,0.63,18.045,0.55,0.25,0.275,0.1
412,1.951,1.122,2.5,55.732,13.561,5.122,0.372,0.639,18.063,0.561,0.244,0.268,0.098
428,2.0,1.119,2.0,55.905,13.738,5.143,0.37,0.64,18.121,0.548,0.238,0.262,0.095
432,2.0,1.116,2.2,56.0,13.814,5.256,0.375,0.64,18.098,0.535,0.233,0.256,0.116
441,1.955,1.114,1.0,56.068,14.114,5.227,0.37,0.641,18.134,0.568,0.227,0.273,0.114
452,1.933,1.111,1.2,56.422,14.089,5.244,0.372,0.638,18.067,0.556,0.222,0.267,0.111
470,1.935,1.174,1.6,56.304,14.174,5.261,0.371,0.638,18.13,0.543,0.217,0.261,0.109
477,1.894,1.255,1.5,55.915,14.128,5.213,0.369,0.632,18.074,0.532,0.213,0.255,0.106
482,1.917,1.229,0.9,55.625,14.042,5.188,0.369,0.619,18.071,0.521,0.208,0.25,0.104
493,1.878,1.245,1.4,55.163,13.857,5.102,0.366,0.618,18.055,0.51,0.204,0.245,0.102
509,1.86,1.3,0.9,55.28,13.76,5.06,0.365,0.613,17.992,0.5,0.2,0.24,0.12
519,1.843,1.294,1.9,54.882,13.549,5.0,0.371,0.616,18.045,0.49,0.196,0.235,0.137
525,1.865,1.308,0.9,54.673,13.538,5.077,0.377,0.618,18.077,0.481,0.212,0.25,0.135
535,1.849,1.283,2.0,54.792,13.585,5.038,0.374,0.626,18.098,0.509,0.208,0.245,0.132
556,1.833,1.259,1.6,54.741,13.556,5.019,0.373,0.632,18.119,0.537,0.222,0.259,0.13
563,1.818,1.255,2.4,54.982,13.545,4.982,0.37,0.637,18.115,0.527,0.218,0.255,0.127
571,1.839,1.25,0.8,55.018,13.625,5.0,0.37,0.637,18.104,0.536,0.214,0.25,0.125
579,1.807,1.246,1.0,54.947,13.544,4.947,0.367,0.641,18.151,0.544,0.211,0.246,0.123
584,1.81,1.259,2.3,54.793,13.534,4.966,0.369,0.643,18.14,0.552,0.207,0.241,0.121
588,1.831,1.254,1.9,54.814,13.525,4.966,0.369,0.647,18.134,0.542,0.203,0.237,0.119
598,1.817,1.233,1.8,54.85,13.6,4.933,0.366,0.653,18.137,0.55,0.2,0.233,0.117
605,1.803,1.23,2.1,54.984,13.738,4.934,0.363,0.653,18.1,0.541,0.197,0.23,0.115
614,1.79,1.226,1.7,54.952,13.71,4.968,0.367,0.655,17.997,0.532,0.194,0.226,0.113
623,1.794,1.206,2.2,54.873,13.794,5.0,0.367,0.66,18.024,0.556,0.19,0.222,0.111
633,1.828,1.219,2.8,54.734,13.812,5.062,0.371,0.661,17.966,0.547,0.188,0.219,0.109
646,1.8,1.2,0.5,54.923,13.938,5.031,0.367,0.666,17.949,0.554,0.185,0.215,0.108
654,1.788,1.242,1.0,54.561,13.803,4.985,0.368,0.665,17.891,0.545,0.182,0.212,0.106
675,1.806,1.254,0.9,54.388,13.746,5.0,0.371,0.64,17.864,0.537,0.179,0.209,0.119
681,1.794,1.25,0.8,54.382,13.706,5.0,0.372,0.64,17.818,0.529,0.176,0.206,0.118
691,1.768,1.246,1.9,54.565,13.681,4.986,0.372,0.641,17.813,0.522,0.174,0.203,0.116
696,1.786,1.257,0.1,54.657,13.771,5.043,0.373,0.639,17.806,0.529,0.171,0.2,0.114
702,1.761,1.296,1.8,54.296,13.606,4.986,0.375,0.633,17.851,0.521,0.169,0.197,0.113
712,1.75,1.319,0.5,54.181,13.597,4.986,0.375,0.631,17.854,0.514,0.167,0.208,0.125
722,1.74,1.315,2.0,53.932,13.493,4.959,0.376,0.633,17.827,0.507,0.164,0.205,0.123
727,1.757,1.297,0.9,54.054,13.419,4.946,0.378,0.638,17.861,0.514,0.176,0.216,0.122
757,1.733,1.333,0.7,54.107,13.44,4.947,0.377,0.633,17.881,0.52,0.173,0.213,0.12
769,1.711,1.329,1.4,54.197,13.395,4.934,0.378,0.633,17.907,0.526,0.171,0.211,0.118
777,1.701,1.338,0.9,54.299,13.442,4.935,0.377,0.631,17.875,0.519,0.169,0.208,0.117
790,1.679,1.372,1.8,54.449,13.462,4.923,0.375,0.629,17.897,0.513,0.167,0.205,0.115
791,1.684,1.367,1.1,54.139,13.456,4.924,0.375,0.631,17.918,0.532,0.165,0.203,0.114
810,1.675,1.35,1.5,54.1,13.425,4.912,0.375,0.635,17.888,0.538,0.162,0.2,0.112
820,1.667,1.333,1.5,54.012,13.37,4.877,0.373,0.64,17.874,0.531,0.16,0.198,0.111
835,1.683,1.329,1.7,53.841,13.329,4.89,0.376,0.64,17.845,0.524,0.159,0.195,0.11
846,1.699,1.386,1.4,53.759,13.301,4.916,0.379,0.637,17.898,0.518,0.169,0.205,0.108
854,1.702,1.381,0.8,53.833,13.286,4.905,0.379,0.635,17.908,0.512,0.167,0.202,0.107
864,1.682,1.365,1.5,53.941,13.306,4.871,0.376,0.639,17.926,0.518,0.165,0.2,0.106
870,1.686,1.349,0.8,53.919,13.477,4.93,0.376,0.643,17.966,0.523,0.163,0.198,0.105
886,1.678,1.345,1.2,53.897,13.471,4.943,0.377,0.636,18.014,0.529,0.161,0.195,0.115
893,1.67,1.33,0.5,53.886,13.5,4.92,0.374,0.64,18.015,0.523,0.159,0.193,0.114
906,1.663,1.348,2.5,53.933,13.438,4.899,0.374,0.636,18.034,0.528,0.157,0.191,0.112
915,1.667,1.344,2.4,53.856,13.444,4.944,0.377,0.638,18.03,0.522,0.156,0.189,0.111
919,1.681,1.33,2.0,53.978,13.484,4.978,0.378,0.642,18.007,0.516,0.154,0.187,0.11
931,1.674,1.315,2.2,53.978,13.511,4.989,0.378,0.646,17.973,0.522,0.152,0.185,0.109
939,1.688,1.301,1.7,54.022,13.559,5.0,0.378,0.65,17.959,0.538,0.151,0.183,0.108
948,1.691,1.298,2.1,53.766,13.5,4.979,0.378,0.643,17.926,0.532,0.149,0.181,0.106
958,1.684,1.295,0.4,53.832,13.516,4.968,0.377,0.645,17.942,0.537,0.147,0.179,0.105
962,1.688,1.312,2.0,53.719,13.438,4.958,0.38,0.642,17.945,0.531,0.146,0.177,0.104
970,1.691,1.309,2.0,53.701,13.433,4.948,0.379,0.642,17.929,0.526,0.155,0.186,0.103
978,1.694,1.316,1.1,53.827,13.541,4.959,0.378,0.636,17.916,0.52,0.153,0.184,0.102
990,1.697,1.303,4.4,53.949,13.515,4.96,0.378,0.64,17.901,0.515,0.152,0.182,0.101
1010,1.71,1.29,0.8,53.98,13.64,4.99,0.378,0.643,17.877,0.52,0.15,0.18,0.1
1018,1.693,1.347,0.8,53.851,13.584,4.98,0.379,0.638,17.852,0.515,0.149,0.178,0.099
1039,1.676,1.333,0.4,53.784,13.549,4.971,0.379,0.642,17.828,0.51,0.147,0.176,0.098
1046,1.66,1.34,1.2,53.786,13.476,4.932,0.377,0.642,17.793,0.505,0.146,0.175,0.097
1047,1.654,1.327,3.4,53.885,13.519,4.913,0.375,0.645,17.813,0.51,0.144,0.173,0.096
1065,1.657,1.314,3.5,53.971,13.667,4.971,0.375,0.649,17.801,0.505,0.143,0.171,0.095
1084,1.66,1.302,2.0,54.104,13.745,4.991,0.375,0.642,17.778,0.509,0.142,0.17,0.094
1090,1.664,1.308,1.2,54.159,13.776,5.009,0.375,0.643,17.779,0.523,0.14,0.168,0.093
1097,1.657,1.296,1.4,54.185,13.778,5.019,0.375,0.646,17.791,0.519,0.139,0.167,0.093
1104,1.642,1.294,1.2,54.064,13.798,5.018,0.375,0.648,17.797,0.523,0.138,0.165,0.101
1109,1.627,1.291,3.2,54.164,13.845,5.009,0.373,0.649,17.801,0.518,0.136,0.164,0.1
1120,1.631,1.279,1.4,54.108,13.964,5.045,0.373,0.643,17.814,0.532,0.135,0.162,0.099
1130,1.625,1.268,5.2,54.152,14.018,5.045,0.372,0.646,17.822,0.527,0.134,0.161,0.098
1137,1.646,1.265,2.9,54.044,14.044,5.071,0.373,0.648,17.8,0.522,0.142,0.168,0.097
1150,1.649,1.263,2.2,54.035,14.105,5.096,0.373,0.646,17.825,0.526,0.14,0.167,0.105
1155,1.643,1.252,2.1,54.009,14.113,5.07,0.371,0.649,17.798,0.522,0.139,0.165,0.104
1165,1.629,1.259,2.8,53.931,14.181,5.078,0.37,0.649,17.779,0.526,0.138,0.164,0.103
1179,1.641,1.265,0.9,54.034,14.205,5.103,0.371,0.648,17.801,0.521,0.145,0.171,0.103
1183,1.636,1.28,1.0,53.958,14.169,5.076,0.369,0.646,17.79,0.517,0.144,0.169,0.102
1194,1.63,1.294,1.0,53.874,14.168,5.067,0.369,0.646,17.797,0.521,0.143,0.168,0.101
1202,1.625,1.283,1.3,53.75,14.142,5.058,0.369,0.649,17.773,0.517,0.142,0.167,0.1
1212,1.612,1.281,1.4,53.942,14.182,5.041,0.367,0.648,17.755,0.512,0.14,0.165,0.099
1228,1.615,1.279,1.1,54.025,14.238,5.066,0.367,0.648,17.759,0.516,0.139,0.164,0.098
1240,1.618,1.276,0.9,54.089,14.236,5.065,0.367,0.649,17.782,0.52,0.138,0.163,0.106
1241,1.605,1.29,0.7,53.976,14.177,5.048,0.367,0.649,17.761,0.516,0.137,0.161,0.113
1252,1.6,1.28,2.2,53.984,14.16,5.048,0.368,0.652,17.766,0.52,0.136,0.16,0.112
1269,1.595,1.27,2.2,54.063,14.167,5.04,0.367,0.655,17.736,0.524,0.135,0.159,0.111
1275,1.606,1.26,0.5,54.024,14.118,5.024,0.367,0.657,17.733,0.52,0.142,0.165,0.11
1287,1.594,1.258,4.1,53.93,14.07,4.992,0.365,0.658,17.737,0.516,0.141,0.164,0.109
1292,1.597,1.256,1.1,53.86,14.171,5.016,0.365,0.658,17.719,0.519,0.14,0.171,0.109
1309,1.585,1.269,0.8,53.969,14.215,5.0,0.363,0.655,17.701,0.515,0.138,0.169,0.108
1312,1.573,1.26,1.0,53.802,14.153,4.969,0.361,0.658,17.69,0.511,0.137,0.168,0.107
1323,1.561,1.265,1.1,53.886,14.129,4.955,0.361,0.657,17.693,0.508,0.136,0.167,0.106
1334,1.571,1.271,0.8,53.827,14.12,4.97,0.362,0.655,17.695,0.511,0.135,0.165,0.105
1343,1.567,1.276,0.8,53.843,14.09,4.97,0.363,0.65,17.694,0.507,0.134,0.164,0.104
1358,1.57,1.281,3.3,53.719,14.052,4.948,0.362,0.65,17.67,0.511,0.133,0.163,0.104
1364,1.588,1.294,0.7,53.669,14.103,4.971,0.362,0.648,17.674,0.522,0.132,0.162,0.11
1377,1.599,1.285,1.8,53.65,14.088,4.971,0.363,0.65,17.694,0.518,0.131,0.161,0.109
1387,1.601,1.283,2.9,53.58,14.109,4.971,0.362,0.652,17.672,0.514,0.13,0.159,0.109
1392,1.604,1.281,1.7,53.496,14.158,4.993,0.362,0.653,17.687,0.525,0.129,0.158,0.108
1407,1.6,1.286,0.2,53.521,14.207,5.014,0.362,0.652,17.684,0.521,0.129,0.157,0.107
1409,1.596,1.298,2.7,53.333,14.128,4.986,0.362,0.652,17.677,0.518,0.128,0.156,0.106
1431,1.599,1.289,0.6,53.317,14.12,4.993,0.363,0.655,17.677,0.521,0.141,0.169,0.106
1443,1.594,1.287,1.5,53.315,14.098,4.993,0.364,0.656,17.71,0.517,0.14,0.168,0.105
1451,1.604,1.306,0.7,53.243,14.132,4.993,0.363,0.655,17.704,0.514,0.139,0.167,0.118
1459,1.607,1.31,1.2,53.138,14.097,4.993,0.364,0.655,17.707,0.51,0.138,0.166,0.124
1474,1.61,1.315,2.9,53.164,14.048,4.966,0.363,0.654,17.727,0.507,0.144,0.171,0.123
1479,1.626,1.32,2.7,53.286,14.116,5.014,0.364,0.653,17.721,0.503,0.15,0.177,0.122
1497,1.622,1.318,0.4,53.25,14.203,5.047,0.364,0.654,17.723,0.5,0.149,0.176,0.128
1506,1.611,1.336,0.5,53.275,14.154,5.027,0.363,0.654,17.716,0.503,0.148,0.174,0.128
1510,1.6,1.333,1.5,53.28,14.153,5.007,0.362,0.655,17.751,0.5,0.147,0.173,0.127
1514,1.609,1.338,1.3,53.225,14.172,5.026,0.362,0.655,17.734,0.497,0.146,0.172,0.126
1521,1.612,1.329,2.4,53.171,14.151,5.02,0.362,0.658,17.729,0.493,0.145,0.171,0.125
1531,1.608,1.32,1.4,53.183,14.15,5.02,0.362,0.66,17.728,0.49,0.144,0.17,0.124
1550,1.604,1.325,1.4,53.175,14.13,5.006,0.362,0.659,17.719,0.487,0.143,0.169,0.123
1551,1.594,1.335,2.6,53.174,14.09,4.994,0.362,0.655,17.705,0.484,0.142,0.168,0.123
1568,1.603,1.327,1.6,53.192,14.128,5.026,0.363,0.657,17.703,0.481,0.141,0.167,0.128
1579,1.592,1.318,1.0,53.28,14.134,5.032,0.363,0.659,17.679,0.478,0.14,0.166,0.127
1589,1.582,1.329,0.6,53.19,14.114,5.013,0.362,0.659,17.663,0.475,0.139,0.165,0.127
1596,1.572,1.321,1.3,53.151,14.088,5.006,0.362,0.661,17.687,0.478,0.138,0.164,0.126
1608,1.575,1.319,2.3,53.131,14.144,5.044,0.363,0.66,17.693,0.475,0.138,0.162,0.125
1619,1.571,1.323,2.0,53.161,14.168,5.043,0.362,0.656,17.695,0.478,0.137,0.161,0.13
1629,1.568,1.321,0.8,53.117,14.142,5.031,0.362,0.656,17.699,0.481,0.142,0.167,0.13
1639,1.577,1.313,0.8,53.104,14.135,5.018,0.361,0.659,17.709,0.479,0.141,0.166,0.129
1648,1.573,1.311,1.1,53.146,14.116,5.012,0.361,0.66,17.708,0.482,0.14,0.165,0.128
1658,1.588,1.303,0.2,53.188,14.097,5.012,0.362,0.662,17.692,0.479,0.139,0.164,0.127
1664,1.578,1.307,1.6,53.163,14.042,4.994,0.362,0.662,17.692,0.476,0.139,0.163,0.127
1676,1.581,1.317,2.1,53.269,14.06,5.006,0.362,0.658,17.698,0.479,0.138,0.162,0.126
1687,1.583,1.315,2.2,53.238,14.03,4.988,0.361,0.658,17.699,0.476,0.143,0.167,0.125
1696,1.574,1.325,0.4,53.278,14.083,5.0,0.361,0.655,17.699,0.479,0.142,0.166,0.13
1708,1.565,1.329,0.8,53.253,14.065,4.994,0.361,0.654,17.708,0.476,0.141,0.165,0.129
1718,1.556,1.333,1.0,53.246,14.041,4.965,0.359,0.654,17.702,0.474,0.14,0.164,0.129
1729,1.558,1.337,3.4,53.209,14.035,4.959,0.359,0.653,17.688,0.471,0.14,0.163,0.134
1737,1.566,1.335,1.5,53.249,14.087,4.983,0.359,0.654,17.673,0.468,0.139,0.162,0.133
1749,1.563,1.345,0.3,53.236,14.057,4.954,0.357,0.65,17.666,0.466,0.144,0.167,0.132
1757,1.56,1.337,1.1,53.211,14.0,4.931,0.356,0.652,17.678,0.469,0.143,0.166,0.131
1770,1.551,1.341,1.5,53.284,14.017,4.915,0.355,0.651,17.665,0.466,0.142,0.165,0.131
1773,1.542,1.339,0.4,53.237,14.028,4.921,0.355,0.652,17.647,0.463,0.141,0.164,0.13
1787,1.545,1.343,0.7,53.287,14.0,4.91,0.355,0.652,17.661,0.472,0.14,0.163,0.129
1800,1.553,1.346,1.5,53.24,13.978,4.916,0.356,0.65,17.634,0.469,0.14,0.162,0.128
1809,1.55,1.344,0.9,53.122,13.956,4.922,0.358,0.651,17.624,0.472,0.139,0.161,0.128
1812,1.558,1.337,1.6,53.088,13.978,4.923,0.357,0.653,17.645,0.47,0.138,0.16,0.127
1828,1.549,1.335,0.9,53.17,14.027,4.923,0.356,0.653,17.631,0.467,0.137,0.159,0.126
1838,1.541,1.328,0.7,53.109,14.022,4.907,0.355,0.654,17.633,0.47,0.137,0.158,0.126
1848,1.538,1.342,1.3,53.103,13.995,4.908,0.356,0.653,17.648,0.467,0.136,0.158,0.125
1858,1.53,1.341,2.3,53.135,13.984,4.892,0.355,0.652,17.658,0.481,0.135,0.157,0.124
1866,1.527,1.339,1.5,53.177,14.043,4.898,0.355,0.648,17.659,0.478,0.134,0.156,0.124
1878,1.535,1.353,2.1,53.176,14.043,4.898,0.355,0.647,17.661,0.476,0.134,0.155,0.123
1882,1.527,1.356,0.3,53.17,14.074,4.899,0.354,0.646,17.664,0.473,0.133,0.154,0.122
1898,1.519,1.354,2.9,53.169,14.021,4.878,0.354,0.646,17.651,0.471,0.132,0.153,0.122
