ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
211,2.1,1.0,1.4,51.3,11.4,4.0,0.42,0.608,20.91,0.7,0.7,0.8,0.0
222,2.0,1.0,0.8,49.2,11.2,4.0,0.43,0.608,20.54,0.6,0.5,0.6,0.0
244,1.5,0.8,1.1,52.0,12.1,3.9,0.353,0.648,19.51,0.7,0.2,0.3,0.0
260,1.6,0.9,1.2,52.5,13.1,4.4,0.363,0.598,18.63,0.7,0.2,0.3,0.0
269,1.3,0.9,0.9,55.3,13.8,4.1,0.311,0.608,19.14,0.7,0.1,0.2,0.0
306,1.5,0.7,0.9,57.2,13.5,4.1,0.324,0.586,19.22,0.7,0.1,0.2,0.0
329,1.5,0.9,1.9,56.6,13.7,4.1,0.32,0.611,19.0,0.6,0.1,0.2,0.0
348,1.4,1.0,0.9,59.2,14.4,4.7,0.341,0.561,19.0,0.7,0.0,0.1,0.1
364,1.5,1.0,0.8,57.3,14.0,4.8,0.353,0.561,18.99,0.6,0.0,0.0,0.1
400,1.4,1.1,0.6,55.9,13.8,4.8,0.363,0.571,18.87,0.6,0.0,0.0,0.2
405,1.4,1.4,1.5,54.2,12.4,4.3,0.351,0.564,18.16,0.4,0.0,0.0,0.2
429,1.4,1.5,1.6,55.4,12.4,4.1,0.329,0.53,18.2,0.4,0.0,0.0,0.3
447,1.5,1.7,1.2,56.1,12.5,4.1,0.327,0.48,18.21,0.3,0.0,0.0,0.4
469,1.5,1.8,1.5,55.2,11.8,3.9,0.339,0.48,17.93,0.2,0.0,0.0,0.4
488,1.6,1.8,0.7,53.7,11.2,4.1,0.374,0.475,18.12,0.2,0.0,0.0,0.4
515,1.5,1.8,1.5,51.8,11.3,4.0,0.357,0.505,18.06,0.2,0.0,0.0,0.4
528,1.5,1.7,1.1,51.0,11.3,4.2,0.371,0.551,18.17,0.2,0.0,0.0,0.4
550,1.5,1.8,2.7,49.9,10.2,3.7,0.365,0.551,17.9,0.1,0.0,0.0,0.3
603,1.6,2.3,0.5,48.0,10.4,4.2,0.397,0.551,17.56,0.1,0.0,0.0,0.5
624,1.5,2.3,1.7,47.4,10.2,4.0,0.374,0.573,17.39,0.2,0.0,0.0,0.4
637,1.5,2.1,1.5,48.9,11.4,4.6,0.395,0.563,17.92,0.3,0.0,0.0,0.4
660,1.5,2.0,0.4,48.9,12.7,4.9,0.389,0.597,18.09,0.4,0.0,0.0,0.3
675,1.4,2.0,0.8,48.0,11.9,4.9,0.418,0.613,17.61,0.4,0.0,0.0,0.3
694,1.3,1.9,0.6,48.6,12.1,4.7,0.39,0.643,17.49,0.4,0.0,0.0,0.3
697,1.2,2.0,0.9,50.8,11.9,4.3,0.355,0.635,16.94,0.4,0.0,0.0,0.3
719,1.2,2.0,0.5,52.7,12.1,4.3,0.348,0.621,16.94,0.4,0.0,0.0,0.3
742,1.1,2.1,2.5,53.2,11.2,3.9,0.342,0.607,17.25,0.4,0.0,0.0,0.3
