ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
223,1.7,0.6,3.5,61.7,15.7,5.5,0.375,0.586,18.11,0.8,0.1,0.1,0.0
237,1.8,0.6,1.0,59.6,15.1,5.2,0.385,0.636,17.34,0.6,0.0,0.1,0.1
245,2.0,0.6,1.8,61.8,14.4,5.8,0.424,0.6,17.31,0.5,0.0,0.1,0.1
281,2.0,0.5,2.2,60.4,14.5,5.4,0.394,0.65,16.84,0.4,0.0,0.1,0.1
293,2.2,0.5,1.4,59.3,13.6,5.2,0.43,0.55,16.52,0.2,0.1,0.2,0.1
319,2.4,0.3,1.2,58.3,12.5,5.1,0.443,0.65,16.37,0.3,0.1,0.2,0.1
330,2.6,0.4,1.7,60.1,12.9,5.2,0.444,0.617,16.47,0.4,0.1,0.2,0.1
353,2.7,0.4,1.5,61.7,13.8,5.0,0.414,0.617,15.92,0.5,0.1,0.2,0.1
363,2.8,0.6,0.9,65.3,13.5,5.0,0.42,0.567,16.41,0.5,0.1,0.2,0.3
390,2.5,0.9,1.8,61.3,12.5,4.7,0.431,0.517,16.09,0.6,0.1,0.2,0.3
416,2.3,1.0,2.8,60.4,13.0,4.5,0.408,0.567,16.27,0.7,0.1,0.2,0.3
431,2.0,0.9,1.7,62.1,14.8,4.8,0.368,0.617,16.36,0.7,0.1,0.1,0.2
450,1.8,0.8,1.2,60.9,14.7,4.4,0.344,0.567,16.28,0.7,0.1,0.1,0.2
467,1.9,1.0,3.8,60.5,14.4,4.4,0.349,0.5,16.36,0.8,0.1,0.1,0.2
482,2.0,1.1,1.6,60.3,16.0,5.0,0.316,0.575,16.43,0.9,0.0,0.0,0.3
516,2.0,1.1,1.0,61.4,16.5,5.1,0.311,0.575,16.45,0.8,0.0,0.0,0.3
524,2.0,1.1,3.1,60.6,16.9,5.5,0.329,0.575,16.44,0.7,0.0,0.0,0.3
548,2.1,1.2,2.9,61.5,17.5,6.4,0.36,0.55,16.42,0.6,0.0,0.0,0.3
